,Rank,Series_Name,Release_year,Duration,Genre,Star,Licence,No_of_votes,Rating
0,1,Euphoria,2019,55 m,Drama,"Zendaya,",18+,"135,017",8.5
1,2,Peaky Blinders,2013,60 m,"Crime,",Cillian,18+,"462,470",8.8
2,3,The Walking Dead,2010,44 m,"Drama,",Andrew,A,"934,191",8.3
3,4,The Marvelous Mrs Maisel,2017,57 m,"Comedy,",Rachel,18+,"102,267",8.7
4,5,Vikings,2013,44 m,"Action,",Katheryn,18+,"497,689",8.6
5,6,Yellowstone,2018,60 m,"Drama,",Kevin,18+,"102,520",8.9
6,7,Shingeki no Kyojin,2013,24 m,"Animation,",Yûki,16+,"330,041",9.1
7,8,The Righteous Gemstones,2019,36 m,"Comedy,",John,18+,"26,885",8.1
8,9,Ozark,2017,60 m,"Crime,",Jason,A,"258,724",8.5
9,10,Killing Eve,2018,42 m,"Action,",Jodie,18+,"105,644",8.2
10,11,Game of Thrones,2011,57 m,"Action,",Emilia,18,"1,960,998",9.3
11,12,The Last Kingdom,2015,60 m,"Action,",Eliza,18+,"108,628",8.5
12,13,Succession,2018,60 m,Drama,Nicholas,13,"119,365",8.8
13,14,Star Trek Discovery,2017,60 m,"Action,",Doug,18+,"113,987",7.1
14,15,Outlander,2014,60 m,"Drama,",Caitriona,A,"146,945",8.5
15,16,Stranger Things,2016,1945 i,"Drama,",Millie,18+,"969,711",8.7
16,17,This Is Us,2016,51 m,"Comedy,",Milo,16+,"128,045",8.7
17,18,The Blacklist,2013,45 m,"Crime,",James,18+,"233,767",8.1
18,19,The Witcher,2019,43 m,"Action,",Henry,15+,"457,334",8.3
19,20,Billions,2016,60 m,Drama,Paul,18+,"88,691",8.4
20,21,Better Call Saul,2015,60 m,"Crime,",Bob,A,"382,870",8.8
21,22,The Rookie,2018,46 m,"Crime,",Nathan,18+,"33,049",8.1
22,23,The Mandalorian,2019,43 m,"Action,",Pedro,18+,"412,294",8.8
23,24,Chicago Fire,2012,40 m,"Action,",Taylor,18+,"53,292",8.2
24,25,The Boys,2019,43 m,"Action,",Karl,15+,"349,507",8.7
25,26,Young Sheldon,2017,60 m,Comedy,Iain,18+,"51,560",7.6
26,27,Downton Abbey,2010,30 m,"Drama,",Hugh,15+,"193,765",8.8
27,28,Brooklyn Nine Nine,2013,58 m,"Comedy,",Andy,18+,"286,838",8.5
28,29,Demon Slayer Kimetsu No Yaiba,2019,22 m,"Animation,",Natsuki,A,"82,241",8.8
29,30,Shameless,2011,24 m,"Comedy,",Emmy,18+,"227,048",8.6
30,31,The Sinner,2017,46 m,"Crime,",Bill,15,"114,746",7.9
31,32,Black Mirror,2011,45 m,"Drama,",Daniel,18+,"507,451",8.8
32,33,Sluga naroda,2015,60 m,Comedy,Volodymyr,16,"1,260",7.1
33,34,Death in Paradise,2011,60 m,"Comedy,",Elizabeth,18+,"19,340",7.9
34,35,Rick and Morty,2013,23 m,"Animation,",Justin,16+,"464,391",9.2
35,36,Suits,2011,44 m,"Comedy,",Gabriel,18+,"391,333",8.5
36,37,Cobra Kai,2018,30 m,"Action,",Ralph,15+,"160,827",8.6
37,38,Blue Bloods,2010,43 m,"Crime,",Donnie,18+,"37,854",7.8
38,39,The Expanse,2015,60 m,"Drama,",Steven,16+,"143,464",8.6
39,40,Daredevil,2015,54 m,"Action,",Charlie,18+,"411,925",8.7
40,41,The Good Doctor,2017,41 m,Drama,Freddie,UA 16+,"86,186",8.2
41,42,The Flash,2014,43 m,"Action,",Grant,18+,"333,628",7.7
42,43,American Horror Story,2011,60 m,"Drama,",Lady,U,"305,434",8.1
43,44,Manifest,2018,43 m,"Drama,",Melissa,18+,"48,847",7.2
44,45,Westworld,2016,62 m,"Drama,",Evan,16,"468,947",8.6
45,46,Legends of Tomorrow,2016,42 m,"Action,",Caity,18+,"101,482",6.9
46,47,After Life,2019,30 m,"Comedy,",Ricky,18+,"123,696",8.5
47,48,Lucifer,2016,42 m,"Crime,",Tom,18+,"305,008",8.2
48,49,La casa de papel,2017,70 m,"Action,",Úrsula,U,"448,988",8.3
49,50,A Discovery of Witches,2018,60 m,"Drama,",Matthew,18+,"49,104",8.0
50,51,Sex Education,2019,45 m,"Comedy,",Asa,7+,"252,738",8.4
51,52,Chicago P D,2014,43 m,"Action,",Jason,18+,"35,561",8.2
52,53,Snowfall,2017,44 m,"Crime,",Damson,13+,"15,825",8.2
53,54,The Crown,2016,58 m,"Biography,",Claire,18+,"187,860",8.7
54,55,Fargo,2014,53 m,"Crime,",Billy,16,"358,651",8.9
55,56,The Handmaid s Tale,2017,60 m,"Drama,",Elisabeth,18+,"213,582",8.4
56,57,True Detective,2014,55 m,"Crime,",Vince,18+,"540,160",8.9
57,58,S W A T,2017,43 m,"Action,",Shemar,18+,"21,002",7.2
58,59,Chicago Med,2015,43 m,Drama,Nick,18,"23,387",7.8
